"ADDRESS_ZIP_CODE","AGG_NUM_VEHICLES","AVG_HOUSEHOLD_SIZE","MED_GROSS_RENT","MED_HOUSING_COST","MED_INCOME","MED_YEAR_BUILT","MONTHLY_OWNER_COSTS","NO_INTERNET","TOTAL_POP"
"12790",1640,2.57,1151,1167,85219,1956,1428,156,4542
"12791",190,3.02,NA,1268,83576,1953,238,45,741
"12792",65,1.91,NA,NA,NA,1974,64,20,132
"12801",6105,2.18,934,1038,60700,0,3489,933,14838
"12803",3510,2.26,987,1052,66449,1967,2171,427,8349
"12804",11875,2.3,1082,1194,83204,1983,8657,814,27486
"12808",90,1.85,NA,873,95250,1979,107,27,202
"12809",1370,2.38,1022,1142,59669,1966,1307,274,3679
"12810",255,2.26,963,1012,61691,1983,239,76,586
"12811",40,2.78,NA,NA,45096,1986,63,17,175
"12812",35,6.56,NA,2097,167984,1968,50,0,328
"12814",555,1.9,958,981,96328,1971,591,96,1300
"12815",465,2,932,877,58125,1976,402,39,1041
"12816",1600,2.23,918,1037,63739,1949,1645,318,4636
"12817",705,2.13,780,855,67332,1975,751,165,2006
"12819",140,2.57,1038,1081,82813,1953,95,9,311
"12820",NA,3,NA,1382,126324,1946,32,0,96
"12821",NA,2.42,NA,950,NA,1995,65,20,2764
"12822",2380,2.55,915,967,67558,1960,1856,216,6036
"12823",275,3.35,NA,1045,110081,1979,138,0,462
"12824",435,2.24,NA,1177,94861,1983,386,19,949
"12827",1490,2.48,888,869,74596,1980,1120,200,3349
"12828",4795,2.59,1034,1097,72813,1973,3197,242,9866
"12831",7760,2.69,1202,1471,91827,1993,5170,650,18314
"12832",2235,2.31,725,792,55383,1970,2006,412,6353
"12833",1830,2.44,983,1306,87669,1987,1753,150,5141
"12834",2735,2.58,1061,1136,76681,1949,1914,206,6211
"12835",885,2.16,838,804,65307,1972,1048,137,2760
"12836",170,2,883,1042,80320,1967,269,55,593
"12837",465,2.65,1030,930,69130,1987,337,20,1083
"12838",205,2.43,865,834,58476,1978,256,19,735
"12839",6085,2.28,878,928,57248,1957,3205,1006,13612
"12841",25,1.37,NA,1147,57130,1966,81,19,123
"12842",260,2.18,542,823,53875,1970,237,37,595
"12843",270,2.43,NA,998,60000,1981,265,29,672
"12844",65,2.26,NA,NA,124226,1960,92,0,265
"12845",1785,2.19,992,1115,82857,1971,1610,289,4760
"12846",1425,1.94,990,897,54565,1968,1253,315,3057
"12847",130,2.12,913,1023,75167,1964,153,15,376
"12849",NA,2.4,NA,NA,NA,1998,128,49,320
"12850",1140,2.59,1266,1263,87619,1985,815,71,2621
"12851",175,2.17,NA,872,66667,1968,156,0,379
"12852",60,1.84,1313,500,47000,1961,156,26,333
"12853",445,2.27,900,802,49440,1970,472,48,1456
"12854",NA,4.32,NA,NA,NA,NA,19,0,82
"12855",95,2.11,963,613,57500,1969,100,13,236
"12856",80,1.85,NA,862,51402,1966,75,22,281
"12857",195,2.37,920,811,65000,1968,258,28,750
"12858",NA,1.93,NA,1469,106250,1952,58,10,112
"12859",900,2.82,1266,1326,102625,1996,645,64,2146
"12860",165,1.95,NA,850,85556,1969,166,4,342
"12861",200,2.62,944,956,83929,1962,191,32,544
"12862",NA,1.52,NA,1975,NA,1983,51,0,160
"12863",465,3.18,789,1330,84514,1985,346,60,1285
"12864",NA,2,NA,NA,NA,1949,0,0,4
"12865",1180,2.57,982,898,62381,0,1064,247,3522
"12866",15835,2.06,1402,1517,91935,1981,10855,787,38788
"12870",460,2.25,775,972,57643,1975,601,97,1725
"12871",1830,2.52,961,1267,77500,1948,1221,171,4025
"12872",NA,1.94,NA,NA,NA,1961,49,0,95
"12873",325,2.37,786,914,84671,1941,220,54,832
"12874",NA,1.84,NA,NA,119375,1962,56,2,138
